"","label","index","nr_pix","height","width","tallness","rows_with_1","cols_with_1","rows_with_5plus","cols_with_5plus","one_neigh","three_plus_neigh","none_below","none_above","none_before","none_after","nr_regions","nr_eyes","r5_c5","bd_decimal","r_max_pixel","c_max_pixel"
"1","11","1",22,12,7,1.71428571428571,7,3,1,1,2,9,6,6,9,10,8,3,0,0.363636363636364,7,11
"2","11","2",22,12,7,1.71428571428571,7,3,1,1,2,9,6,6,9,10,2,8,0,0.363636363636364,7,11
"3","11","3",21,10,7,1.42857142857143,5,3,1,1,2,11,8,5,9,10,9,8,0,0.285714285714286,7,10
"4","11","4",18,10,7,1.42857142857143,7,4,1,1,3,7,8,5,7,9,1,2,0,0.166666666666667,7,10
"5","11","5",26,12,8,1.5,4,2,1,1,2,17,8,7,10,10,9,1,0,0.307692307692308,8,10
"6","11","6",21,12,7,1.71428571428571,8,4,1,1,3,11,8,5,7,10,1,10,0,0.333333333333333,7,11
"7","11","7",24,11,9,1.22222222222222,6,6,1,1,3,11,8,8,9,10,3,10,0,0.375,9,11
"8","11","8",26,11,7,1.57142857142857,2,3,1,2,2,21,8,6,8,9,10,3,-1,0.230769230769231,7,11
"9","12","1",28,13,7,1.85714285714286,7,0,2,1,1,15,9,10,7,7,6,4,1,0.285714285714286,7,6
"10","12","2",30,13,12,1.08333333333333,7,3,1,1,1,4,13,12,6,8,1,3,0,0.266666666666667,10,6
"11","12","3",28,13,11,1.18181818181818,6,4,2,0,2,6,12,10,7,7,9,10,2,0.357142857142857,5,4
"12","12","4",28,12,10,1.2,6,2,1,1,2,7,12,11,7,7,10,9,0,0.392857142857143,9,5
"13","12","5",29,14,12,1.16666666666667,8,5,1,1,2,5,11,10,8,8,4,1,0,0.310344827586207,9,6
"14","12","6",31,13,12,1.08333333333333,7,3,1,2,3,9,13,12,5,7,3,8,-1,0.32258064516129,10,5
"15","12","7",30,13,10,1.3,5,3,3,1,2,11,10,9,9,9,9,7,2,0.333333333333333,5,7
"16","12","8",29,12,12,1,6,5,2,1,2,5,14,12,6,7,4,2,1,0.344827586206897,10,6
"17","13","1",30,15,7,2.14285714285714,7,0,1,2,1,12,9,10,8,8,5,2,-1,0.166666666666667,5,7
"18","13","2",30,15,8,1.875,7,1,1,1,2,8,8,12,8,11,7,4,0,0.233333333333333,6,11
"19","13","3",26,14,7,2,8,0,1,1,1,5,9,8,7,7,5,10,0,0.307692307692308,5,7
"20","13","4",32,15,9,1.66666666666667,5,0,1,3,2,6,12,10,9,10,10,1,-2,0.3125,5,5
"21","13","5",30,17,8,2.125,9,0,0,1,2,4,9,8,10,10,7,6,-1,0.233333333333333,4,9
"22","13","6",31,14,9,1.55555555555556,4,1,1,1,1,8,10,9,8,7,1,10,0,0.387096774193548,5,7
"23","13","7",31,14,8,1.75,4,0,0,2,2,12,9,7,10,11,4,4,-2,0.258064516129032,4,7
"24","13","8",32,15,8,1.875,7,1,1,1,0,14,9,9,10,9,5,8,0,0.28125,5,11
"25","14","1",27,12,10,1.2,6,3,1,2,2,11,8,8,7,8,7,3,-1,0.296296296296296,10,8
"26","14","2",24,12,8,1.5,7,4,1,1,3,15,6,4,7,10,10,7,0,0.166666666666667,8,11
"27","14","3",29,14,10,1.4,7,4,2,2,2,10,8,7,12,13,2,1,0,0.344827586206897,6,8
"28","14","4",30,15,10,1.5,8,4,2,2,2,13,8,6,10,13,7,9,0,0.333333333333333,7,11
"29","14","5",30,14,11,1.27272727272727,8,4,2,1,3,15,9,7,10,12,10,1,1,0.333333333333333,7,14
"30","14","6",32,16,11,1.45454545454545,9,3,2,2,0,11,5,6,11,13,7,6,0,0.3125,8,12
"31","14","7",33,14,11,1.27272727272727,5,4,1,1,1,19,7,7,11,12,3,4,0,0.333333333333333,10,13
"32","14","8",26,11,11,1,5,5,1,1,2,9,9,8,8,9,6,3,0,0.307692307692308,11,11
"33","15","1",34,12,9,1.33333333333333,7,0,3,2,2,14,18,18,8,7,10,2,1,0.470588235294118,8,6
"34","15","2",32,13,10,1.3,9,0,3,1,2,8,18,18,7,5,4,8,2,0.4375,8,5
"35","15","3",31,12,10,1.2,7,0,3,0,2,5,18,17,5,4,2,2,3,0.354838709677419,8,4
"36","15","4",32,14,10,1.4,8,0,3,0,1,1,17,16,8,7,5,7,3,0.34375,7,4
"37","15","5",35,15,10,1.5,8,0,2,1,2,6,14,15,9,9,2,7,1,0.4,7,8
"38","15","6",41,16,11,1.45454545454545,7,0,3,2,0,19,15,17,10,10,5,2,1,0.463414634146341,8,8
"39","15","7",32,15,9,1.66666666666667,9,1,1,2,2,10,12,14,9,6,7,9,-1,0.40625,8,7
"40","15","8",34,16,10,1.6,10,0,1,1,2,8,15,15,9,7,4,4,0,0.558823529411765,8,6
"41","16","1",23,11,7,1.57142857142857,3,1,0,1,0,8,4,6,8,4,3,2,-1,0.434782608695652,4,6
"42","16","2",35,14,10,1.4,4,0,3,2,1,13,11,11,9,8,6,6,1,0.428571428571429,7,6
"43","16","3",31,15,8,1.875,6,0,1,2,0,8,7,6,10,9,1,3,-1,0.580645161290323,6,6
"44","16","4",29,14,8,1.75,7,0,2,3,1,8,7,7,10,8,1,10,-1,0.551724137931034,6,5
"45","16","5",27,13,8,1.625,6,0,1,1,1,8,6,7,7,6,4,2,0,0.444444444444444,5,5
"46","16","6",26,13,8,1.625,6,1,1,1,1,6,6,7,7,6,7,8,0,0.461538461538462,7,6
"47","16","7",29,12,8,1.5,4,0,1,2,1,12,9,8,6,8,2,3,-1,0.379310344827586,8,5
"48","16","8",28,13,8,1.625,5,0,1,1,1,5,9,8,7,6,9,1,0,0.535714285714286,6,5
"49","17","1",21,12,9,1.33333333333333,10,1,1,0,1,3,9,9,5,6,2,4,1,0.428571428571429,9,3
"50","17","2",28,13,9,1.44444444444444,10,1,2,0,4,8,12,13,5,6,5,2,2,0.428571428571429,9,4
"51","17","3",22,13,10,1.3,11,0,1,0,2,2,8,9,4,4,1,6,1,0.409090909090909,9,3
"52","17","4",33,14,12,1.16666666666667,11,3,2,0,4,8,16,17,6,6,7,7,2,0.424242424242424,11,4
"53","17","5",23,12,12,1,11,4,1,0,2,2,11,12,5,5,6,1,1,0.434782608695652,12,3
"54","17","6",33,14,11,1.27272727272727,11,1,3,1,4,16,14,15,6,6,5,4,2,0.424242424242424,9,5
"55","17","7",41,12,14,0.857142857142857,9,2,3,1,3,24,19,21,6,5,3,1,2,0.48780487804878,12,5
"56","17","8",26,15,11,1.36363636363636,13,2,1,0,1,5,10,11,7,7,9,5,1,0.461538461538462,11,4
"57","21","1",27,11,9,1.22222222222222,1,0,0,1,1,7,6,5,10,11,3,2,-1,0.407407407407407,4,8
"58","21","2",40,12,11,1.09090909090909,1,0,2,3,1,23,9,8,11,14,5,3,-1,0.35,7,8
"59","21","3",32,10,10,1,1,0,2,2,1,12,9,9,10,10,9,2,0,0.375,7,7
"60","21","4",29,10,10,1,0,1,1,1,1,8,7,7,8,11,5,7,0,0.482758620689655,6,9
"61","21","5",31,11,9,1.22222222222222,1,0,1,3,1,8,7,7,13,14,7,5,-2,0.354838709677419,5,7
"62","21","6",35,12,11,1.09090909090909,1,0,2,2,1,9,9,9,13,12,2,8,0,0.428571428571429,6,8
"63","21","7",35,12,11,1.09090909090909,1,0,2,2,1,7,9,9,15,14,4,4,0,0.457142857142857,6,7
"64","21","8",31,10,10,1,0,1,2,1,0,11,10,7,9,11,5,9,1,0.419354838709677,7,10
"65","22","1",34,15,9,1.66666666666667,3,0,0,3,1,9,6,5,17,14,5,1,-3,0.588235294117647,4,8
"66","22","2",33,15,9,1.66666666666667,3,0,0,2,1,4,6,7,17,15,7,6,-2,0.484848484848485,4,12
"67","22","3",33,12,9,1.33333333333333,3,0,2,2,1,18,7,8,12,12,3,4,0,0.393939393939394,5,11
"68","22","4",31,12,8,1.5,3,0,1,3,1,15,6,8,12,11,8,6,-2,0.451612903225806,5,9
"69","22","5",34,15,9,1.66666666666667,4,0,1,3,1,12,6,6,17,15,4,3,-2,0.411764705882353,5,9
"70","22","6",42,14,10,1.4,2,0,2,2,1,28,9,8,14,13,2,4,0,0.619047619047619,8,13
"71","22","7",29,13,8,1.625,4,0,2,1,1,6,7,7,15,12,10,6,1,0.517241379310345,5,13
"72","22","8",42,16,10,1.6,3,0,2,3,1,23,9,8,14,15,7,1,-1,0.571428571428571,8,15
"73","23","1",23,11,11,1,8,2,2,0,2,0,12,12,5,5,7,6,2,0.565217391304348,7,4
"74","23","2",24,13,10,1.3,9,1,2,1,2,0,10,10,7,7,8,6,1,0.625,6,6
"75","23","3",27,13,10,1.3,6,0,2,1,1,6,11,11,7,7,3,6,1,0.592592592592593,5,7
"76","23","4",25,15,9,1.66666666666667,9,0,0,1,2,0,7,7,9,9,3,6,-1,0.6,4,8
"77","23","5",24,14,10,1.4,9,1,0,1,2,0,9,9,7,7,9,4,-1,0.541666666666667,4,6
"78","23","6",22,12,9,1.33333333333333,9,0,1,1,2,0,11,11,6,6,3,4,0,0.636363636363636,7,5
"79","23","7",27,14,11,1.27272727272727,8,0,1,1,2,2,11,12,7,6,10,1,0,0.62962962962963,5,6
"80","23","8",31,16,11,1.45454545454545,9,1,1,2,2,11,9,7,10,10,4,7,-1,0.580645161290323,5,6
"81","24","1",34,15,8,1.875,5,1,1,1,1,17,6,4,13,17,3,6,0,0.352941176470588,5,15
"82","24","2",31,15,8,1.875,6,0,0,2,1,9,6,5,14,16,6,8,-2,0.354838709677419,4,13
"83","24","3",31,13,7,1.85714285714286,4,0,0,3,0,16,5,4,11,13,1,1,-3,0.354838709677419,4,10
"84","24","4",38,14,8,1.75,3,0,2,3,1,27,6,5,12,14,6,5,-1,0.289473684210526,5,12
"85","24","5",35,15,8,1.875,4,0,2,2,0,23,5,6,10,16,8,1,0,0.257142857142857,5,14
"86","24","6",29,13,8,1.625,6,0,1,1,1,11,6,5,10,13,9,3,0,0.310344827586207,5,12
"87","24","7",31,15,8,1.875,4,0,0,2,2,10,5,3,15,15,8,1,-2,0.32258064516129,4,9
"88","24","8",37,16,8,2,5,1,0,3,0,23,6,2,12,15,8,7,-3,0.216216216216216,4,12
"89","25","1",31,11,9,1.22222222222222,3,1,2,3,0,10,12,11,6,5,8,10,-1,0.354838709677419,7,5
"90","25","2",35,13,10,1.3,2,0,2,1,2,8,13,13,8,8,10,5,1,0.428571428571429,5,6
"91","25","3",31,11,10,1.1,3,0,2,1,1,5,13,14,5,5,6,10,1,0.451612903225806,8,6
"92","25","4",31,9,9,1,2,0,2,1,0,9,15,16,5,4,5,1,1,0.354838709677419,8,5
"93","25","5",34,12,10,1.2,3,0,3,1,1,6,14,15,6,6,8,7,2,0.441176470588235,7,5
"94","25","6",32,12,9,1.33333333333333,3,0,2,1,1,11,11,11,7,5,5,9,1,0.40625,6,6
"95","25","7",33,12,9,1.33333333333333,2,0,1,1,0,14,10,9,6,4,9,4,0,0.484848484848485,6,5
"96","25","8",31,10,10,1,3,0,2,1,1,8,15,15,5,4,7,1,1,0.483870967741935,7,5
"97","26","1",25,12,11,1.09090909090909,7,5,2,1,3,6,10,9,8,7,1,3,1,0.72,7,8
"98","26","2",25,13,11,1.18181818181818,10,5,2,1,4,5,10,10,8,8,3,2,1,0.72,8,10
"99","26","3",26,13,11,1.18181818181818,9,6,2,1,4,5,10,10,10,10,1,3,1,0.653846153846154,8,12
"100","26","4",33,15,14,1.07142857142857,9,7,2,2,3,12,13,14,10,8,8,1,0,0.727272727272727,11,10
"101","26","5",21,12,10,1.2,9,6,1,1,4,5,7,7,7,7,8,5,0,0.714285714285714,6,9
"102","26","6",22,12,10,1.2,9,6,2,1,4,5,8,8,8,8,8,1,1,0.727272727272727,6,10
"103","26","7",24,12,11,1.09090909090909,9,6,2,1,4,5,10,10,8,8,1,5,1,0.708333333333333,8,9
"104","26","8",31,14,12,1.16666666666667,7,4,1,1,3,16,10,9,7,10,10,7,0,0.612903225806452,9,10
"105","27","1",30,14,7,2,5,1,1,3,1,8,7,6,11,12,5,7,-2,0.433333333333333,5,9
"106","27","2",33,13,7,1.85714285714286,3,0,1,1,0,13,8,9,10,14,5,3,0,0.333333333333333,5,12
"107","27","3",36,14,7,2,3,0,1,3,0,17,7,9,12,13,7,10,-2,0.472222222222222,5,12
"108","27","4",37,14,8,1.75,4,0,2,3,1,11,11,11,13,14,10,1,-1,0.324324324324324,6,9
"109","27","5",40,13,9,1.44444444444444,2,0,2,3,0,26,11,10,13,10,7,10,-1,0.375,5,10
"110","27","6",52,15,8,1.875,2,0,3,5,0,38,11,9,12,16,7,8,-2,0.269230769230769,7,14
"111","27","7",40,17,10,1.7,4,0,1,2,1,8,10,9,13,13,4,3,-1,0.4,5,9
"112","27","8",31,13,8,1.625,2,0,0,2,1,4,8,7,10,10,3,9,-2,0.451612903225806,4,8
"113","31","1",20,13,11,1.18181818181818,6,2,0,0,2,0,8,8,1,2,5,10,0,0.45,2,2
"114","31","2",21,13,11,1.18181818181818,5,1,0,0,2,0,9,9,2,2,8,7,0,0.476190476190476,2,2
"115","31","3",22,14,12,1.16666666666667,6,2,0,0,2,0,9,9,2,2,8,7,0,0.545454545454545,2,2
"116","31","4",21,12,11,1.09090909090909,5,1,0,0,2,0,10,10,1,2,9,8,0,0.523809523809524,3,2
"117","31","5",25,15,13,1.15384615384615,8,1,0,0,2,2,10,11,2,2,5,10,0,0.4,4,2
"118","31","6",25,15,13,1.15384615384615,8,2,0,0,1,3,11,9,2,3,3,3,0,0.56,3,3
"119","31","7",26,13,13,1,3,2,0,0,1,7,13,11,2,3,5,8,0,0.576923076923077,3,3
"120","31","8",23,14,13,1.07692307692308,6,3,0,0,2,0,10,10,1,2,5,9,0,0.565217391304348,3,2
"121","32","1",22,11,11,1,4,0,0,0,2,2,11,12,2,2,5,3,0,0.454545454545455,4,2
"122","32","2",26,12,13,0.923076923076923,4,2,1,0,2,10,12,12,2,1,8,8,1,0.423076923076923,6,3
"123","32","3",25,14,13,1.07692307692308,4,2,0,0,2,5,10,11,2,1,2,3,0,0.44,3,3
"124","32","4",30,14,14,1,5,1,1,0,1,12,13,13,3,2,1,8,1,0.533333333333333,5,3
"125","32","5",24,10,12,0.833333333333333,2,1,0,0,2,4,14,14,2,2,4,6,0,0.291666666666667,4,3
"126","32","6",21,13,11,1.18181818181818,6,1,0,0,2,2,9,8,2,2,10,6,0,0.428571428571429,3,2
"127","32","7",29,13,13,1,2,0,0,0,1,11,14,14,2,3,4,10,0,0.413793103448276,4,3
"128","32","8",24,15,12,1.25,8,1,0,0,2,2,10,9,2,3,5,5,0,0.375,3,3
"129","33","1",22,3,11,0.272727272727273,0,0,2,0,4,0,21,21,2,2,10,6,2,0.454545454545455,11,2
"130","33","2",23,3,12,0.25,0,1,2,0,4,0,22,22,2,2,2,2,2,0.304347826086957,12,2
"131","33","3",22,3,12,0.25,0,2,2,0,4,0,21,21,2,2,7,5,2,0.409090909090909,11,2
"132","33","4",25,2,13,0.153846153846154,0,1,2,0,4,0,25,25,2,2,7,5,2,0.44,13,2
"133","33","5",28,4,14,0.285714285714286,0,0,3,0,4,0,26,26,2,2,8,3,3,0.428571428571429,12,2
"134","33","6",22,3,12,0.25,0,2,2,0,4,0,21,21,2,2,8,8,2,0.409090909090909,11,2
"135","33","7",23,3,12,0.25,1,1,2,0,4,0,22,22,2,2,8,4,2,0.347826086956522,11,2
"136","33","8",21,3,10,0.3,0,0,2,0,4,4,19,19,2,2,1,8,2,0.476190476190476,10,3
"137","34","1",29,9,11,0.818181818181818,4,0,3,0,4,0,22,22,2,3,10,6,3,0.482758620689655,11,3
"138","34","2",39,11,15,0.733333333333333,1,2,2,0,4,8,28,28,2,3,5,10,2,0.512820512820513,13,4
"139","34","3",35,10,15,0.666666666666667,5,3,2,0,4,0,27,27,3,3,10,1,2,0.514285714285714,15,3
"140","34","4",41,12,14,0.857142857142857,4,0,3,0,4,2,31,30,4,3,1,8,3,0.463414634146341,14,4
"141","34","5",35,13,11,1.18181818181818,6,0,1,1,3,17,17,19,3,3,6,3,0,0.571428571428571,10,5
"142","34","6",38,13,14,0.928571428571429,3,0,1,0,3,8,25,24,3,3,10,9,1,0.447368421052632,12,3
"143","34","7",36,11,13,0.846153846153846,3,0,2,0,3,6,26,24,4,3,7,2,2,0.5,12,4
"144","34","8",33,11,12,0.916666666666667,3,1,2,0,4,0,24,24,2,3,10,1,2,0.575757575757576,11,3
"145","35","1",30,12,11,1.09090909090909,4,1,1,0,4,0,20,20,3,2,4,5,1,0.4,9,3
"146","35","2",32,12,12,1,2,1,1,0,4,3,21,21,3,2,1,7,1,0.46875,11,3
"147","35","3",44,15,14,1.07142857142857,4,2,2,2,1,20,24,20,4,5,7,10,0,0.340909090909091,12,6
"148","35","4",33,13,12,1.08333333333333,4,1,1,0,4,0,22,22,3,2,7,4,1,0.363636363636364,9,3
"149","35","5",37,14,14,1,3,1,1,0,3,3,24,24,4,2,9,7,1,0.432432432432432,11,3
"150","35","6",42,11,15,0.733333333333333,0,2,1,1,3,15,28,28,3,3,2,1,0,0.452380952380952,14,5
"151","35","7",38,13,13,1,2,0,1,0,4,2,27,26,3,3,9,6,1,0.368421052631579,13,3
"152","35","8",36,14,13,1.07692307692308,6,1,1,0,4,4,23,23,3,2,2,5,1,0.388888888888889,13,4
"153","36","1",35,11,13,0.846153846153846,8,1,2,0,5,15,19,19,3,5,1,8,2,0.4,13,4
"154","36","2",40,14,13,1.07692307692308,10,1,2,2,4,20,16,19,7,9,1,1,0,0.425,13,5
"155","36","3",30,12,10,1.2,8,1,2,0,4,12,14,14,5,5,8,1,2,0.466666666666667,9,4
"156","36","4",32,10,13,0.769230769230769,8,2,2,0,6,12,19,19,4,5,1,4,2,0.40625,13,4
"157","36","5",30,9,11,0.818181818181818,4,1,2,0,4,13,16,16,4,5,9,9,2,0.466666666666667,11,4
"158","36","6",38,12,14,0.857142857142857,8,1,3,1,5,15,22,21,3,6,5,9,2,0.394736842105263,14,5
"159","36","7",34,11,13,0.846153846153846,8,2,2,0,5,15,20,19,4,5,4,4,2,0.5,13,4
"160","36","8",34,11,12,0.916666666666667,6,1,2,0,5,12,17,18,3,5,2,1,2,0.323529411764706,11,4
"161","37","1",34,9,15,0.6,0,1,1,0,4,8,16,14,6,6,10,4,1,0.352941176470588,6,4
"162","37","2",41,13,16,0.8125,2,1,2,0,3,11,13,14,9,9,1,2,2,0.365853658536585,7,4
"163","37","3",31,8,15,0.533333333333333,1,1,3,0,4,8,14,16,2,2,7,3,3,0.387096774193548,6,3
"164","37","4",29,10,12,0.833333333333333,2,1,1,0,2,6,8,9,7,7,9,7,1,0.517241379310345,5,4
"165","37","5",26,6,13,0.461538461538462,0,0,2,0,3,1,15,14,2,3,8,8,2,0.384615384615385,6,2
"166","37","6",32,8,14,0.571428571428571,1,1,4,0,4,11,14,13,4,4,10,3,4,0.375,5,4
"167","37","7",33,9,16,0.5625,0,2,2,0,3,8,14,13,3,1,7,3,2,0.333333333333333,5,4
"168","37","8",32,8,14,0.571428571428571,0,0,2,0,3,6,13,15,5,5,3,3,2,0.40625,5,4
